,place,category,location
218,외도사랑국수,국수,제주특별자치도 제주시 외도1동
219,하르방밀면 노형점,국수,제주특별자치도 제주시 노형동
220,르몽블랑,카페|디저트,서울특별시 용산구 용산동2가
221,카라멜,양식,대전광역시 중구 선화동
222,알단테,이탈리아음식,경기도 수원시 영통구
223,멜팅아워,카페|디저트,충청북도 청주시 서원구
224,에그베이,토스트,경기도 화성시 산척동
225,하루방순대앤막창,한식,제주특별자치도 서귀포시 남원읍
226,삽다리곱창,곱창|막창|양,충청남도 예산군 삽교읍
227,쿠쿤,양식,제주특별자치도 제주시 구좌읍
228,니찌야,초밥|롤,대구광역시 중구 공평동
229,돼순이네왕족발영등포구청역점직영3호점,족발|보쌈,서울특별시 영등포구 당산동3가
230,함병현김치말이국수,국수,경기도 포천시 내촌면
231,창원회센타,생선회,경상남도 창원시 성산구
232,달그락식탁,돈가스,제주특별자치도 제주시 조천읍
233,준코테이블,스파게티|파스타전문,대전광역시 유성구 궁동
234,멜팅,카페|디저트,경기도 동두천시 탑동동
235,오지힐제주,카페|디저트,제주특별자치도 제주시 한경면
236,미들31,스파게티|파스타전문,대구광역시 북구 산격동
237,명동닭갈비,닭갈비,강원도 삼척시 당저동
238,야미커피앤과자,카페|디저트,인천광역시 미추홀구 도화동
239,프릳츠 도화점,카페|디저트,서울특별시 마포구 도화동
240,푸주옥,곰탕|설렁탕,서울특별시 서초구 서초동
241,매기의추억,카페|디저트,제주특별자치도 제주시 한림읍
242,셰프테이너,이탈리아음식,서울특별시 용산구 한남동
243,홍용가,중식당,강원도 속초시 노학동
244,세이지핀치,브런치,서울특별시 종로구 필운동
245,카페 올레오,카페|디저트,서울특별시 송파구 송파동
246,샐러드랍,다이어트|샐러드,경기도 구리시 교문동
247,타베르나,프랑스음식,경상북도 경주시 황남동
248,219피자애비뉴,피자,부산광역시 북구 금곡동
249,뜨돈 동성로점,돈가스,대구광역시 중구 덕산동
250,부산라멘,일본식라면,부산광역시 동래구 수안동
251,칠돈가 작전점,돼지고기구이,인천광역시 계양구 작전동
252,호시마츠생라멘,일본식라면,전라북도 전주시 완산구
253,카페이층,카페,대전광역시 유성구 덕명동
254,명동칼국수,해물|생선요리,경기도 용인시 처인구
255,우미게장,게요리,경기도 시흥시 계수동
256,신라식물원,식물원|수목원,경상북도 예천군 감천면
257,미분당 수유점,베트남음식,서울특별시 강북구 번동
258,제주 판타스틱버거,햄버거,제주특별자치도 서귀포시 표선면
259,수암55,베이커리,경상남도 의령군 의령읍
260,빈103,카페,경기도 구리시 토평동
261,도래샘,닭요리,경기도 의왕시 오전동
262,대운산채,쌈밥,대전광역시 중구 문화동
263,꼬마곱창,야식,서울특별시 동대문구 장안동
264,산호반점,중식당,제주특별자치도 제주시 우도면
265,허디거디 이도점,이탈리아음식,제주특별자치도 제주시 아라이동
266,SIXBOX,카페|디저트,광주광역시 동구 장동
267,디퍼카페테리아,카페|디저트,서울특별시 종로구 체부동
268,로송커피,카페|디저트,경기도 용인시 처인구
269,펄랑,카페|디저트,제주특별자치도 제주시 한림읍
270,카페무위,카페|디저트,강원도 동해시 묵호진동
271,투파인드피터 고잔점,이탈리아음식,경기도 안산시 단원구
272,바스버거 연남점,햄버거,서울특별시 마포구 동교동
273,밀밀,카페|디저트,광주광역시 북구 용봉동
274,오티오르,카페,경기도 부천시 심곡동
275,빌라빌라콜라,베이커리,경기도 시흥시 은행동
276,살롱드곱떡,떡볶이,서울특별시 강남구 역삼동
277,시오,일식당,서울특별시 서대문구 연희동
278,조선pub에디,요리주점,서울특별시 관악구 봉천동
279,칼국수앤연어,한식,경기도 의정부시 호원동
280,쌍룡포차,요리주점,서울특별시 강서구 마곡동
281,다낭,베트남음식,충청북도 청주시 흥덕구
282,와룽빠뜨릭,카페|디저트,강원도 양양군 현남면
283,한라산도새기,돼지고기구이,경기도 시흥시 정왕동
284,감성타코합정점,멕시코|남미음식,서울특별시 마포구 합정동
285,기글,카페|디저트,서울특별시 영등포구 문래동3가
286,냅다청양집 청라점,돼지고기구이,인천광역시 서구 청라동
287,랍다즐겁다,카페|디저트,제주특별자치도 서귀포시 호근동
288,마라박사,중식당,서울특별시 용산구 남영동
289,탐나종합어시장 금천구청역점,생선회,서울특별시 금천구 시흥동
290,카페 노티드 한남,베이커리,서울특별시 용산구 한남동
291,와인웍스 현대백화점 압구정본점,와인,서울특별시 강남구 압구정동
292,카페록록,카페|디저트,제주특별자치도 제주시 구좌읍
293,배말칼국수김밥 통영서호점,국수,경상남도 통영시 서호동
294,오마모리,카페|디저트,대구광역시 남구 대명동
295,카페오드리,카페|디저트,제주특별자치도 제주시 한림읍
296,라구,양식,서울특별시 용산구 용산동2가
297,맵당 매운갈비찜 배곧점,한식,경기도 시흥시 정왕동
298,뱅커스커피,카페,경상남도 진주시 망경동
299,카페슈샤,카페,경기도 광주시 오포읍
300,델라이방배,카페|디저트,서울특별시 서초구 방배동
301,마루,한식,서울특별시 동작구 노량진동
302,단내음폴폴,카페|디저트,대전광역시 중구 대흥동
303,메이드웰,카페,경기도 수원시 팔달구
304,콜드프레임,카페|디저트,경기도 수원시 영통구
305,개인취향,카페,서울특별시 중랑구 면목동
306,폴콘,베이커리,경기도 파주시 월롱면
307,에듀코치 인창점,입시학원,경기도 구리시 인창동
308,피프티투헤르츠,카페|디저트,부산광역시 부산진구 양정동
309,스페이스작,카페|디저트,경기도 부천시 작동
310,와이드 커피 스탠드,카페|디저트,전라남도 여수시 중앙동
311,몰디브,피자,서울특별시 마포구 연남동
312,르플랑,베이커리,대구광역시 중구 대봉동
313,코지리틀,브런치,서울특별시 서초구 양재동
314,사녹,양식,서울특별시 강남구 신사동
315,꽃피는화덕피자D485본점,피자,경기도 안산시 상록구
